file,block,muts,py,diff,rat,mcc,lines,variance,min,max,range,avgmutsperblock,bcharm,colons,indent,ifthenelse,assign,brackets,parens,dots,longstrings,tests,words,numbers,strings,braces,du,arith,comment,empty,idelta,commas,linelen,fdelta,lcc
_home_joshua_ucPython_lib_python2_7_stat_py,S_IFMT,287,209,-78,-0.771958762886598,1,2,0.0353595068551387,-0.574020618556701,-0.197938144329897,0.376082474226804,970,-0.0804123711340206,1,0.5,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0,42,0,0
_home_joshua_ucPython_lib_python2_7_stat_py,S_IMODE,288,198,-90,-0.890721649484536,1,2,0.0564184929322989,-0.682886597938144,-0.207835051546392,0.475051546391753,970,-0.0927835051546392,1,0.5,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,1,0,41,0,0
_home_joshua_ucPython_lib_python2_7_stat_py,S_ISBLK,288,192,-96,-0.950103092783505,1,2,0.0612179827824423,-0.722474226804124,-0.227628865979381,0.494845360824742,970,-0.0989690721649484,1,0.5,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,52,0,0
_home_joshua_ucPython_lib_python2_7_stat_py,S_ISCHR,288,208,-80,-0.791752577319588,1,2,0.0564184929322988,-0.63340206185567,-0.158350515463918,0.475051546391753,970,-0.0824742268041237,1,0.5,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,52,0,0
_home_joshua_ucPython_lib_python2_7_stat_py,S_ISDIR,285,203,-82,-0.811546391752577,1,2,0.0391795089807631,-0.603711340206186,-0.207835051546392,0.395876288659794,970,-0.0845360824742268,1,0.5,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,1,0,52,0,0
_home_joshua_ucPython_lib_python2_7_stat_py,S_ISFIFO,297,209,-88,-0.870927835051546,1,2,0.0564184929322989,-0.672989690721649,-0.197938144329897,0.475051546391753,970,-0.0907216494845361,1,0.5,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,53,0,0
_home_joshua_ucPython_lib_python2_7_stat_py,S_ISLNK,291,212,-79,-0.781855670103093,1,2,0.0372450207248379,-0.583917525773196,-0.197938144329897,0.385979381443299,970,-0.0814432989690722,1,0.5,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,52,0,0
_home_joshua_ucPython_lib_python2_7_stat_py,S_ISREG,288,211,-77,-0.762061855670103,1,2,0.0411629716229142,-0.583917525773196,-0.178144329896907,0.405773195876289,970,-0.0793814432989691,1,0.5,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,52,0,0
_home_joshua_ucPython_lib_python2_7_stat_py,S_ISSOCK,288,205,-83,-0.821443298969072,1,2,0.0911168455733872,-0.712577319587629,-0.108865979381443,0.603711340206186,970,-0.0855670103092784,1,0.5,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,54,0,0
_home_joshua_ucPython_lib_python2_7_ntpath_py,_abspath_split,1093,1071,-22,-0.22,4,7,0.171926530612245,-0.85,0.68,1.53,2700,-0.00814814814814815,2,1,2,4,2,14,1,0,0,11,0,0,0,0,0,0,0,-6,4,231,0,0
